	Total	3ETcryo10	3ETcryo15	3ETamb10	3ETamb15	3ET2CEcryo10	3ET2CEamb10	3ET2CEcryo15	3ET2CEamb15	2ETcryo15al	2ETcryo15misal	2ETamb15al	2ETamb15misal	2ETcryo20al	2ETcryo20misal	2ETamb20al	2ETamb20misal	2ET2CEcryo15al	2ET2CEcryo15misal	2ET2CEamb15al	2ET2CEamb15misal	2ET2CEcryo20al	2ET2CEcryo20misal	2ET2CEamb20al	2ET2CEamb20misal
N_source	0																								
Omg_1.0_Hz	2.875662067717095e-10	6.499729986611199e-11	2.32555084949286e-11	9.738614645748671e-11	4.075691494199114e-11	2.663063104771825e-13	3.2717037772185333e-13	1.5418562255253344e-13	2.117349846028152e-13	4.6494986722455174e-11	4.6494986722455174e-11	7.039971817158378e-11	7.039971817158378e-11	2.1848654157959042e-11	2.1848654157959042e-11	3.5141127489539185e-11	3.5141127489539185e-11	2.2458111238639903e-13	2.2458111238639903e-13	2.797673184354042e-13	2.797673184354042e-13	1.4907337560491669e-13	1.4907337560491669e-13	1.9526138236974712e-13	1.9526138236974712e-13
Omg_10.0_Hz	1.3347640948323412e-09	3.0169074139930516e-10	1.0794250859504905e-10	4.5202645013410195e-10	1.89176841366121e-10	1.2360843975468317e-12	1.5185903725557396e-12	7.156662642418422e-13	9.827867406273262e-13	2.1581061127990768e-10	2.1581061127990768e-10	3.2676654589095553e-10	3.2676654589095553e-10	1.0141246921132987e-10	1.0141246921132987e-10	1.6311066502402415e-10	1.6311066502402415e-10	1.042413183927622e-12	1.042413183927622e-12	1.2985648618009363e-12	1.2985648618009363e-12	6.91937315885222e-13	6.91937315885222e-13	9.063230524210636e-13	9.063230524210636e-13
Omg_25.0_Hz	2.458656483330382e-09	5.557190968606301e-10	1.9883180077413474e-10	8.326398399251922e-10	3.4846672106447506e-10	2.2768869268647012e-12	2.79726738190123e-12	1.318268529466334e-12	1.8103086537386227e-12	3.975265446899246e-10	3.975265446899246e-10	6.019091236427387e-10	6.019091236427387e-10	1.8680336539042797e-10	1.8680336539042797e-10	3.004524137368533e-10	3.004524137368533e-10	1.9201415013300555e-12	1.9201415013300555e-12	2.391976925999848e-12	2.391976925999848e-12	1.2745594328960147e-12	1.2745594328960147e-12	1.6694613358675922e-12	1.6694613358675922e-12
SNR	{'3ETcryo10': 1.2970363028830623e-21, '3ETcryo15': 1.831007488977461e-21, '3ETamb10': 6.604831880546765e-22, '3ETamb15': 9.565123114305571e-22, '3ET2CEcryo10': 2.2902057161002648e-21, '3ET2CEamb10': 1.7701694127274252e-21, '3ET2CEcryo15': 2.6188267589580242e-21, '3ET2CEamb15': 2.113084333466058e-21, '2ETcryo15al': 3.3219466683122355e-21, '2ETcryo15misal': 3.3219466683122355e-21, '2ETamb15al': 1.701941779648149e-21, '2ETamb15misal': 1.701941779648149e-21, '2ETcryo20al': 4.147155235442221e-21, '2ETcryo20misal': 4.147155235442221e-21, '2ETamb20al': 2.207838546979919e-21, '2ETamb20misal': 2.207838546979919e-21, '2ET2CEcryo15al': 2.883647401598417e-21, '2ET2CEcryo15misal': 2.883647401598417e-21, '2ET2CEamb15al': 2.2091443097258267e-21, '2ET2CEamb15misal': 2.2091443097258267e-21, '2ET2CEcryo20al': 3.1962266755763423e-21, '2ET2CEcryo20misal': 3.1962266755763423e-21, '2ET2CEamb20al': 2.5193593798468334e-21, '2ET2CEamb20misal': 2.5193593798468334e-21}	{'3ETcryo10': 2.931607502107568e-22}	{'3ETcryo15': 1.4807141909200885e-22}	{'3ETamb10': 2.2367160346301867e-22}	{'3ETamb15': 1.3556144855454097e-22}	{'3ET2CEcryo10': 2.1208872037669075e-24}	{'3ET2CEamb10': 2.0139568268423497e-24}	{'3ET2CEcryo15': 1.404145238895979e-24}	{'3ET2CEamb15': 1.555860255354728e-24}	{'2ETcryo15al': 5.371070795435481e-22}	{'2ETcryo15misal': 5.371070795435481e-22}	{'2ETamb15al': 4.1665599084738763e-22}	{'2ETamb15misal': 4.1665599084738763e-22}	{'2ETcryo20al': 3.1509173411060286e-22}	{'2ETcryo20misal': 3.1509173411060286e-22}	{'2ETamb20al': 2.6980182078943873e-22}	{'2ETamb20misal': 2.6980182078943873e-22}	{'2ET2CEcryo15al': 2.2520451947281297e-24}	{'2ET2CEcryo15misal': 2.2520451947281297e-24}	{'2ET2CEamb15al': 2.149228354669504e-24}	{'2ET2CEamb15misal': 2.149228354669504e-24}	{'2ET2CEcryo20al': 1.6569112567559953e-24}	{'2ET2CEcryo20misal': 1.6569112567559953e-24}	{'2ET2CEamb20al': 1.7106763049887792e-24}	{'2ET2CEamb20misal': 1.7106763049887792e-24}
