	Total	3ETcryo10	3ETcryo15	3ETamb10	3ETamb15	3ET2CEcryo10	3ET2CEamb10	3ET2CEcryo15	3ET2CEamb15	2ETcryo15al	2ETcryo15misal	2ETamb15al	2ETamb15misal	2ETcryo20al	2ETcryo20misal	2ETamb20al	2ETamb20misal	2ET2CEcryo15al	2ET2CEcryo15misal	2ET2CEamb15al	2ET2CEamb15misal	2ET2CEcryo20al	2ET2CEcryo20misal	2ET2CEamb20al	2ET2CEamb20misal
N_source	0																								
Omg_1.0_Hz	1.8627703555239398e-10	1.9347853455855876e-11	6.4405124918761205e-12	3.215711938811709e-11	1.2347512417822138e-11	6.382835283080796e-14	8.408802322406507e-14	3.3452757704663314e-14	5.264856289040932e-14	1.3405473889092276e-11	1.3405473889092276e-11	2.2178815422730987e-11	2.2178815422730987e-11	6.089288324768534e-12	6.089288324768534e-12	1.0539596607416918e-11	1.0539596607416918e-11	5.287192713075192e-14	5.287192713075192e-14	7.092763960294004e-14	7.092763960294004e-14	3.257812643210208e-14	3.257812643210208e-14	4.789671385740196e-14	4.789671385740196e-14
Omg_10.0_Hz	8.646197563592397e-10	8.980312841536056e-11	2.9892559014773055e-11	1.4925847415556061e-10	5.731042360768107e-11	2.9564345950666734e-13	3.896806709868477e-13	1.546515715457283e-13	2.437516119711074e-13	6.222104577086341e-11	6.222104577086341e-11	1.029432898721177e-10	1.029432898721177e-10	2.8262320841818332e-11	2.8262320841818332e-11	4.891882176595837e-11	4.891882176595837e-11	2.447882369242953e-13	2.447882369242953e-13	3.285955430303814e-13	3.285955430303814e-13	1.5059189279578708e-13	1.5059189279578708e-13	2.2169564832565974e-13	2.2169564832565974e-13
Omg_25.0_Hz	1.592168672955478e-09	1.650266490852217e-10	5.481178652329414e-11	2.744642342871005e-10	1.0516106432140375e-10	5.25468979331381e-13	6.912416415519421e-13	2.7227646830438664e-13	4.2730408671625394e-13	1.1426631696349026e-10	1.1426631696349026e-10	1.891656021790419e-10	1.891656021790419e-10	5.180988622306326e-11	5.180988622306326e-11	8.972672485257943e-11	8.972672485257943e-11	4.3336131700691657e-13	4.3336131700691657e-13	5.803847056763396e-13	5.803847056763396e-13	2.6479847611161394e-13	2.6479847611161394e-13	3.875304537968245e-13	3.875304537968245e-13
SNR	{'3ETcryo10': 8.400175200565866e-22, '3ETcryo15': 1.1858390100888997e-21, '3ETamb10': 4.275313441931406e-22, '3ETamb15': 6.191647641978623e-22, '3ET2CEcryo10': 1.483431309913391e-21, '3ET2CEamb10': 1.1465609715586694e-21, '3ET2CEcryo15': 1.696283303343861e-21, '3ET2CEamb15': 1.3686693353794433e-21, '2ETcryo15al': 2.151735555340975e-21, '2ETcryo15misal': 2.151735555340975e-21, '2ETamb15al': 1.1022465356937086e-21, '2ETamb15misal': 1.1022465356937086e-21, '2ETcryo20al': 2.686244885796059e-21, '2ETcryo20misal': 2.686244885796059e-21, '2ETamb20al': 1.42988693413423e-21, '2ETamb20misal': 1.42988693413423e-21, '2ET2CEcryo15al': 1.867838923343307e-21, '2ET2CEcryo15misal': 1.867838923343307e-21, '2ET2CEamb15al': 1.4309021985242174e-21, '2ET2CEamb15misal': 1.4309021985242174e-21, '2ET2CEcryo20al': 2.070306681902027e-21, '2ET2CEcryo20misal': 2.070306681902027e-21, '2ET2CEamb20al': 1.631834251531e-21, '2ET2CEamb20misal': 1.631834251531e-21}	{'3ETcryo10': 8.718743871965046e-23}	{'3ETcryo15': 4.094863253087948e-23}	{'3ETamb10': 7.366221332331914e-23}	{'3ETamb15': 4.089383498656273e-23}	{'3ET2CEcryo10': 5.016322729265821e-25}	{'3ET2CEamb10': 5.091902144044762e-25}	{'3ET2CEcryo15': 2.988835727871158e-25}	{'3ET2CEamb15': 3.783778639423913e-25}	{'2ETcryo15al': 1.547890979944512e-22}	{'2ETcryo15misal': 1.547890979944512e-22}	{'2ETamb15al': 1.3109795080711244e-22}	{'2ETamb15misal': 1.3109795080711244e-22}	{'2ETcryo20al': 8.775633819129616e-23}	{'2ETcryo20misal': 8.775633819129616e-23}	{'2ETamb20al': 8.075931450366387e-23}	{'2ETamb20misal': 8.075931450366387e-23}	{'2ET2CEcryo15al': 5.2333670992063195e-25}	{'2ET2CEcryo15misal': 5.2333670992063195e-25}	{'2ET2CEamb15al': 5.355934329065651e-25}	{'2ET2CEamb15misal': 5.355934329065651e-25}	{'2ET2CEcryo20al': 3.563285117459389e-25}	{'2ET2CEcryo20misal': 3.563285117459389e-25}	{'2ET2CEamb20al': 4.107647631732657e-25}	{'2ET2CEamb20misal': 4.107647631732657e-25}
