f	CE1EL1	CE1EL2	CE2EL1	CE2EL2
1.0	-0.13018933100252564	-0.03894438057405096	-0.0928566882561658	-0.033611105192205906
2.0	-0.1141667357507438	-0.02908719227974102	-0.07926059314824434	-0.02413376984922229
3.0	-0.08847987896881504	-0.013269732787346084	-0.05746106483635967	-0.008923974924250469
4.0	-0.054592950314514395	0.0076260739410853665	-0.02869747084033284	0.011172808662352547
5.0	-0.014435584909001188	0.03243327935962629	0.005395139039005244	0.035037411915558495
6.0	0.02970874426816735	0.059763170413631404	0.042879072388569785	0.061337223239036245
7.0	0.07533449310324165	0.08808047820722532	0.0816240499999799	0.08859787336318398
8.0	0.11985816775201508	0.11578641604929035	0.11942789325259498	0.11528245479181368
9.0	0.16076628792660638	0.14130500669692372	0.15414085849501893	0.13987397854212344
10.0	0.19575848512645855	0.16316798971469337	0.18378644626078736	0.16095660522043603
11.0	0.2228773590613881	0.18009369185187118	0.2066717478581536	0.17729126691728142
12.0	0.24061754798602164	0.1910555903661808	0.22148103349984832	0.18788161597834996
13.0	0.24800775067719535	0.19533688115418174	0.22734729501559078	0.19202677802814674
14.0	0.24466108926079466	0.1925681471280715	0.22389777082463175	0.1893581190271626
15.0	0.2307911206739381	0.1827461630478684	0.21127102170777834	0.17985811844113195
16.0	0.2071928720160676	0.16623291786549085	0.19010480030874652	0.1638604234168768
17.0	0.17519036470551946	0.1437350258319843	0.16149566499213328	0.1420311874261506
18.0	0.13655407692320407	0.11626477215082594	0.1269329280273789	0.1153328140861152
19.0	0.09339355327320929	0.08508503799729193	0.08821100209163918	0.08497217662460754
20.0	0.04803179955730591	0.05164121798981886	0.04732543135049845	0.05233621360716902
21.0	0.002869114763027254	0.017483933074959906	0.006358793124192858	0.01891846690357169
22.0	-0.039755446325885575	-0.015813184036809636	-0.032636817528506126	-0.013759407291667972
23.0	-0.07769674663611972	-0.04673612021969113	-0.06775388318858448	-0.04422688360096397
24.0	-0.10912260222781099	-0.07390903777024199	-0.09733358282555334	-0.0711402945341592
25.0	-0.1326123301572438	-0.0961645297039998	-0.12005404257063942	-0.09335099671046938
26.0	-0.1472292880625269	-0.11260184865494999	-0.13499783358941125	-0.10996238511152515
27.0	-0.15256353161852002	-0.1226300846910565	-0.14169511606452484	-0.12037280922253175
28.0	-0.1487425762965175	-0.1259941294722139	-0.14014030999704766	-0.12430224575514506
29.0	-0.13641020684553604	-0.12278223745610038	-0.1307817621269429	-0.12180149348262893
30.0	-0.1166752101756968	-0.11341502369045871	-0.11448547739001173	-0.11324362494086614
31.0	-0.09103369639184537	-0.09861676387475184	-0.09247549699915902	-0.09929840293648587
32.0	-0.06127021040215614	-0.07937082828647224	-0.0662548437151589	-0.0808912928126967
33.0	-0.02934403153543004	-0.05686193326656959	-0.037512040023662686	-0.05914952343527384
34.0	0.0027321579088367995	-0.0324085856363077	-0.008018974873377297	-0.03533832621368063
35.0	0.03301372466525882	-0.007389589625437849	0.020473692696353647	-0.010790976121866915
36.0	0.05973828444395964	0.01683124284349361	0.04633736917626713	0.013163453843716491
37.0	0.08142586684504963	0.03897800190674326	0.06815671593804135	0.03527064660318421
38.0	0.0969592600259055	0.057929231738619996	0.08480599309357224	0.05441608019557807
39.0	0.10564008720635096	0.07277456606974492	0.0955063461548814	0.06968109443568876
40.0	0.10721775521143412	0.08285850140344911	0.0998610480882729	0.08038707966462291
41.0	0.1018901510440382	0.08780913137914655	0.09786709248570875	0.08612558836895573
42.0	0.09027673512541892	0.08755054573404548	0.0899029889946531	0.08677298857138074
43.0	0.07336637791080146	0.08229853657152972	0.07669405015613859	0.08248916051877295
44.0	0.05244380507961838	0.07254019898245075	0.05925779209030593	0.07370063477264947
45.0	0.028999763383790147	0.05899890873388799	0.03883322045328048	0.06106942966758074
46.0	0.004630921077012934	0.04258695649012202	0.016798670696826303	0.04544962131670799
47.0	-0.019063976823014937	0.024348771958801335	-0.005416532709368674	0.02783432742104837
48.0	-0.040585092012533346	0.005398147346711162	-0.026421071029204393	0.009296272383134324
49.0	-0.05862334032094747	-0.013146856853328396	-0.04494583398177139	-0.009074599390585018
50.0	-0.07213754892173291	-0.030227581892404116	-0.0599182978584598	-0.026232896640967784
51.0	-0.08041242588469681	-0.04490343066298196	-0.07052276083374712	-0.0412354803557972
52.0	-0.08309416396028338	-0.05640228972264062	-0.07624308307761075	-0.05329192728429134
53.0	-0.0802019936281206	-0.06416002231871482	-0.07688573228057244	-0.06180506927821229
54.0	-0.07211556902779677	-0.06784702248425635	-0.07258220063180498	-0.06639953700585936
55.0	-0.059539612988313555	-0.06738060438850059	-0.06377115666667216	-0.06693696032582916
56.0	-0.043448666017651356	-0.06292284118143243	-0.051161943627695716	-0.06351726483631435
57.0	-0.025015990524627784	-0.054864314088290296	-0.035682158415412016	-0.05646630873505068
58.0	-0.0055316026298041715	-0.04379503640147051	-0.018412974355673902	-0.04631087975018834
59.0	0.013685013780072253	-0.03046453244706124	-0.0005165526196069697	-0.033742774536537644
60.0	0.03137174330795775	-0.015733638601656236	0.016839716646001823	-0.019574273467254998
61.0	0.04640462126271182	-0.0005210201431643817	0.03255731091887494	-0.004687770155391756
62.0	0.0578674785127354	0.014252357873136865	0.04567439019713699	0.010017405898166725
63.0	0.06510620388864874	0.02771751643775597	0.05542320930615745	0.02367783659083618
64.0	0.06776447401660965	0.03910735762823716	0.06127375392249655	0.03551548000361951
65.0	0.06579907619941827	0.04779934434770246	0.0629611706854998	0.0448809596951874
66.0	0.05947432018197118	0.053348622241672895	0.060495639462606283	0.05128830178457258
