f	Total	3ETcryo10	3ETcryo15	3ETamb10	3ETamb15	3ET2CEcryo10	3ET2CEamb10	3ET2CEcryo15	3ET2CEamb15	2ETcryo15al	2ETcryo15misal	2ETamb15al	2ETamb15misal	2ETcryo20al	2ETcryo20misal	2ETamb20al	2ETamb20misal	2ET2CEcryo15al	2ET2CEcryo15misal	2ET2CEamb15al	2ET2CEamb15misal	2ET2CEcryo20al	2ET2CEcryo20misal	2ET2CEamb20al	2ET2CEamb20misal
1.0	2.5159478874501886e-12	2.5987112943795407e-13	8.632005763322332e-14	4.3199911559072766e-13	1.6575864422015473e-13	8.426640783170319e-16	1.1136003790872577e-15	4.3496792384092606e-16	6.891908400732528e-16	1.800247270649081e-13	1.800247270649081e-13	2.9775698392882124e-13	2.9775698392882124e-13	8.160075416074947e-14	8.160075416074947e-14	1.413954396646583e-13	1.413954396646583e-13	6.934670193439168e-16	6.934670193439168e-16	9.368366531217195e-16	9.368366531217195e-16	4.228132833915902e-16	4.228132833915902e-16	6.248181559186722e-16	6.248181559186722e-16
2.000400320256205	3.977275614492903e-12	4.097457989297098e-13	1.3594151727033152e-13	6.814378354311861e-13	2.611795246843459e-13	1.32089918910173e-15	1.7455228830927928e-15	6.813424982202172e-16	1.0795349525246542e-15	2.8373755331289936e-13	2.8373755331289936e-13	4.694842797474766e-13	4.694842797474766e-13	1.2849819575397315e-13	1.2849819575397315e-13	2.227523772831253e-13	2.227523772831253e-13	1.0867111110537642e-15	1.0867111110537642e-15	1.4680868749909917e-15	1.4680868749909917e-15	6.622494523572223e-16	6.622494523572223e-16	9.786088176645674e-16	9.786088176645674e-16
3.00080064051241	5.191529378544172e-12	5.33609365109885e-13	1.7684717453505604e-13	8.877742380457092e-13	3.3992650618356135e-13	1.710975168670312e-15	2.260899156098504e-15	8.81942625817685e-16	1.3973438313579176e-15	3.6937876936527923e-13	3.6937876936527923e-13	6.114100051315356e-13	6.114100051315356e-13	1.6715109003664583e-13	1.6715109003664583e-13	2.898677374690986e-13	2.898677374690986e-13	1.4072280726962216e-15	1.4072280726962216e-15	1.9010885938243055e-15	1.9010885938243055e-15	8.571609488734841e-16	8.571609488734841e-16	1.266589404446224e-15	1.266589404446224e-15
4.001200960768616	6.266397741353683e-12	6.426989047456557e-13	2.1278612457126279e-13	1.0696579899356567e-12	4.091851513901551e-13	2.0500237165962512e-15	2.708803999642988e-15	1.055961119498915e-15	1.6730328636255461e-15	4.4474439162597673e-13	4.4474439162597673e-13	7.364091298635128e-13	7.364091298635128e-13	2.01104665020389e-13	2.01104665020389e-13	3.488748817382352e-13	3.488748817382352e-13	1.6855924712588873e-15	1.6855924712588873e-15	2.2771478472697906e-15	2.2771478472697906e-15	1.0262075049624907e-15	1.0262075049624907e-15	1.516341166416491e-15	1.516341166416491e-15
5.00160128102482	7.2467022199137224e-12	7.416973175473181e-13	2.4532124464232313e-13	1.2348599612622355e-12	4.719504619668723e-13	2.3534971070738493e-15	3.1096582884345103e-15	1.2113764909350925e-15	1.919245979875249e-15	5.13083693662466e-13	5.13083693662466e-13	8.498470867851609e-13	8.498470867851609e-13	2.318368314365438e-13	2.318368314365438e-13	4.0233034448811714e-13	4.0233034448811714e-13	1.9345221261160214e-15	1.9345221261160214e-15	2.6134463834967373e-15	2.6134463834967373e-15	1.1771452112709794e-15	1.1771452112709794e-15	1.7393294300287249e-15	1.7393294300287249e-15
6.002001601281025	8.156587732354033e-12	8.331286537283666e-13	2.752948683490316e-13	1.3875685445687461e-12	5.29836652113627e-13	2.6297177593681308e-15	3.4744505359369255e-15	1.3524921762216906e-15	2.142787582667292e-15	5.761480058234476e-13	5.761480058234476e-13	9.546157879878807e-13	9.546157879878807e-13	2.601441167732665e-13	2.601441167732665e-13	4.5161199532883356e-13	4.5161199532883356e-13	2.160867227367986e-15	2.160867227367986e-15	2.9192289957834636e-15	2.9192289957834636e-15	1.314157641074822e-15	1.314157641074822e-15	1.941726509720674e-15	1.941726509720674e-15
7.00240192153723	9.010952989345124e-12	9.185506206078748e-13	3.0322680113952453e-13	1.5303686722845782e-12	5.838398033520826e-13	2.88389360464086e-15	3.810025795073398e-15	1.4820371721348915e-15	2.3479282454801353e-15	6.350181145745096e-13	6.350181145745096e-13	1.052499923380087e-12	1.052499923380087e-12	2.865180530333377e-13	2.865180530333377e-13	4.975700553886385e-13	4.975700553886385e-13	2.3689294144611316e-15	2.3689294144611316e-15	3.200267221101523e-15	3.200267221101523e-15	1.4398999217313866e-15	1.4398999217313866e-15	2.127414789449261e-15	2.127414789449261e-15
8.002802241793436	9.81981279380659e-12	9.990105168501106e-13	3.294667825435058e-13	1.6649980903191973e-12	6.346296614055499e-13	3.119637019972155e-15	4.121121415261012e-15	1.601894204340659e-15	2.5376795113000368e-15	6.904207610134466e-13	6.904207610134466e-13	1.1446992914627105e-12	1.1446992914627105e-12	3.1128937703739136e-13	3.1128937703739136e-13	5.407762482103077e-13	5.407762482103077e-13	2.5617140297709886e-15	2.5617140297709886e-15	3.4605789836705277e-15	3.4605789836705277e-15	1.556205250609121e-15	1.556205250609121e-15	2.299131161595229e-15	2.299131161595229e-15
9.00320256204964	1.0590310055472306e-11	1.0752554058931198e-12	3.5426447577822005e-13	1.792696171731283e-12	6.826840453826492e-13	3.339623999570168e-15	4.411300874515061e-15	1.7135270063876505e-15	2.714349550945515e-15	7.428744419819536e-13	7.428744419819536e-13	1.232069636933058e-12	1.232069636933058e-12	3.346942048332052e-13	3.346942048332052e-13	5.816385160605624e-13	5.816385160605624e-13	2.7414657941797585e-15	2.7414657941797585e-15	3.703213495474756e-15	3.703213495474756e-15	1.6645021550356758e-15	1.6645021550356758e-15	2.458953951462696e-15	2.458953951462696e-15
10.003602882305845	1.1327766777010316e-11	1.1478422194774374e-12	3.7780617081529106e-13	1.914386470657443e-12	7.283593607336922e-13	3.545878363525789e-15	4.683297388592413e-15	1.818063546066338e-15	2.879676878576577e-15	7.927658266804807e-13	7.927658266804807e-13	1.3152487866428916e-12	1.3152487866428916e-12	3.56908740313414e-13	3.56908740313414e-13	6.20461238219704e-13	6.20461238219704e-13	2.909888249658307e-15	2.909888249658307e-15	3.930514094176217e-15	3.930514094176217e-15	1.7658924702447602e-15	1.7658924702447602e-15	2.6084581096234113e-15	2.6084581096234113e-15
11.00400320256205	1.2036283220187026e-11	1.2172001181451397e-12	4.002355599260146e-13	2.030780497440171e-12	7.719303745776768e-13	3.7399553473755964e-15	4.9392118019759945e-15	1.916326230306502e-15	3.0350090940520367e-15	8.403929031713507e-13	8.403929031713507e-13	1.3947282192528275e-12	1.3947282192528275e-12	3.7806891168053e-13	3.7806891168053e-13	6.574791170606812e-13	6.574791170606812e-13	3.0682886276393742e-15	3.0682886276393742e-15	4.144277824788099e-15	4.144277824788099e-15	1.8611785406353646e-15	1.8611785406353646e-15	2.748862758908135e-15	2.748862758908135e-15
12.004403522818256	1.2719103940647124e-11	1.2836691783214763e-12	4.216666685696699e-13	2.1424416844678047e-12	8.136151515723749e-13	3.923110017635379e-15	5.18071272523604e-15	2.0089956324455166e-15	3.1814173283257212e-15	8.859918800397383e-13	8.859918800397383e-13	1.4708973797919627e-12	1.4708973797919627e-12	3.9828260436202067e-13	3.9828260436202067e-13	6.92878492396835e-13	6.92878492396835e-13	3.2177242270360135e-15	3.2177242270360135e-15	4.345927017850324e-15	4.345927017850324e-15	1.9510251097136295e-15	1.9510251097136295e-15	2.8811500775219693e-15	2.8811500775219693e-15
13.00480384307446	1.3378852256595726e-11	1.3475246863492966e-12	4.4219197373245435e-13	2.2498257989755254e-12	8.535904164549877e-13	4.096392652907005e-15	5.409180268567189e-15	2.096637151697053e-15	3.3197971725062436e-15	9.297540141458051e-13	9.297540141458051e-13	1.544071459108277e-12	1.544071459108277e-12	4.1763733505576495e-13	4.1763733505576495e-13	7.268104214860926e-13	7.268104214860926e-13	3.359076207171763e-15	3.359076207171763e-15	4.536644196533468e-15	4.536644196533468e-15	2.035984795640447e-15	2.035984795640447e-15	3.0061446219921818e-15	3.0061446219921818e-15
14.005204163330665	1.4017688144796522e-11	1.4089939661773214e-12	4.618879967353797e-13	2.3533088196636066e-12	8.920024338806552e-13	4.260655198324335e-15	5.625750721951738e-15	2.1796772071848474e-15	3.4508703072747486e-15	9.718374253273149e-13	9.718374253273149e-13	1.6145107909777965e-12	1.6145107909777965e-12	4.362055437101248e-13	4.362055437101248e-13	7.594000230108812e-13	7.594000230108812e-13	3.4930462022157136e-15	3.4930462022157136e-15	4.717388424335232e-15	4.717388424335232e-15	2.1164734898320503e-15	2.1164734898320503e-15	3.1245101971174276e-15	3.1245101971174276e-15
15.005604483586872	1.4637417040098035e-11	1.4682674852468266e-12	4.808190978268825e-13	2.4532055508877858e-12	9.289739824587489e-13	4.416597646318483e-15	5.8313580110453745e-15	2.258476335261076e-15	3.5752258199926094e-15	1.0123747032354406e-12	1.0123747032354406e-12	1.6824335474364144e-12	1.6824335474364144e-12	4.540481826059077e-13	4.540481826059077e-13	7.90752374259784e-13	7.90752374259784e-13	3.620210070614284e-15	3.620210070614284e-15	4.888946877069536e-15	4.888946877069536e-15	2.1928429012438978e-15	2.1928429012438978e-15	3.2367864660299105e-15	3.2367864660299105e-15
16.006004803843076	1.523956778501943e-11	1.525506881357697e-12	4.990398993507523e-13	2.5497831677002735e-12	9.646094611467145e-13	4.564788674399271e-15	6.026762734110109e-15	2.3333232459393574e-15	3.693336540432868e-15	1.051478480419389e-12	1.051478480419389e-12	1.748025022468437e-12	1.748025022468437e-12	4.712169836442596e-13	4.712169836442596e-13	8.209568191435111e-13	8.209568191435111e-13	3.741035901972973e-15	3.741035901972973e-15	5.051962235758575e-15	5.051962235758575e-15	2.265374217189142e-15	2.265374217189142e-15	3.343402781661698e-15	3.343402781661698e-15
17.00640512409928	1.5825449868778962e-11	1.5808511262679e-12	5.165974794804459e-13	2.643271286747626e-12	9.98998887094659e-13	4.705706476304559e-15	6.212614429438404e-15	2.40445988533506e-15	3.805598295056846e-15	1.089245697000016e-12	1.089245697000016e-12	1.8114446490468844e-12	1.8114446490468844e-12	4.877565483304162e-13	4.877565483304162e-13	8.500904108222187e-13	8.500904108222187e-13	3.855917683799111e-15	3.855917683799111e-15	5.2069770320411585e-15	5.2069770320411585e-15	2.3343028759052806e-15	2.3343028759052806e-15	3.444719756751119e-15	3.444719756751119e-15
18.006805444355486	1.6396195801439764e-11	1.6344208045888086e-12	5.335327583353505e-13	2.7338690548812915e-12	1.0322205308891509e-12	4.839770229916009e-15	6.3894789393048e-15	2.4721021656084343e-15	3.9123579570489864e-15	1.1257605219416971e-12	1.1257605219416971e-12	1.8728308695934687e-12	1.8728308695934687e-12	5.037056498600055e-13	5.037056498600055e-13	8.78220192289005e-13	8.78220192289005e-13	3.965200536803897e-15	3.965200536803897e-15	5.354468419157869e-15	5.354468419157869e-15	2.3998390797294587e-15	2.3998390797294587e-15	3.5410534532126664e-15	3.5410534532126664e-15
19.00720576461169	1.6952793727818282e-11	1.6863215494958503e-12	5.49881579222215e-13	2.8217508767310627e-12	1.0643431302730873e-12	4.9673417258841116e-15	6.557840922479356e-15	2.53643236089172e-15	4.0139106256501985e-15	1.1610967405301069e-12	1.1610967405301069e-12	1.9323050731417212e-12	1.9323050731417212e-12	5.190982589039546e-13	5.190982589039546e-13	9.054050357563181e-13	9.054050357563181e-13	4.06917990543716e-15	4.06917990543716e-15	5.494842506859564e-15	5.494842506859564e-15	2.462160026074859e-15	2.462160026074859e-15	3.632671266052474e-15	3.632671266052474e-15
20.007606084867895	1.7496112607827315e-11	1.7366467720099273e-12	5.656757337127065e-13	2.9070708070705946e-12	1.0954276270040057e-12	5.088739030017287e-15	6.718127186818316e-15	2.5976015315440993e-15	4.110513577068845e-15	1.1953196862109669e-12	1.1953196862109669e-12	1.98997474277104e-12	1.98997474277104e-12	5.339645161487797e-13	5.339645161487797e-13	9.316971825405707e-13	9.316971825405707e-13	4.168113115801666e-15	4.168113115801666e-15	5.62845549694475e-15	5.62845549694475e-15	2.5214122042670355e-15	2.5214122042670355e-15	3.7198047679806424e-15	3.7198047679806424e-15
21.0080064051241	1.8026921892617673e-11	1.7854797716982123e-12	5.809436642373879e-13	2.9899659483930184e-12	1.1255285287391879e-12	5.204243046575491e-15	6.870717464362362e-15	2.6557393490197103e-15	4.20239141936781e-15	1.228487677975567e-12	1.228487677975567e-12	2.045935623172695e-12	2.045935623172695e-12	5.483313971199191e-13	5.483313971199191e-13	9.571434232781287e-13	9.571434232781287e-13	4.262225891122686e-15	4.262225891122686e-15	5.755623119033974e-15	5.755623119033974e-15	2.5777211206974053e-15	2.5777211206974053e-15	3.802655682814062e-15	3.802655682814062e-15
22.008406725380308	1.854590711689788e-11	1.8328951943065838e-12	5.957109847988725e-13	3.070559104499895e-12	1.154694783568524e-12	5.314104524575013e-15	7.0159522678899915e-15	2.7109593458477927e-15	4.289742061897616e-15	1.260653058570683e-12	1.260653058570683e-12	2.1002735087820137e-12	2.1002735087820137e-12	5.622231994417325e-13	5.622231994417325e-13	9.817858021248887e-13	9.817858021248887e-13	4.351716313806893e-15	4.351716313806893e-15	5.87662691820556e-15	5.87662691820556e-15	2.631196469879105e-15	2.631196469879105e-15	3.881399351999367e-15	3.881399351999367e-15
23.008807045636512	1.9053682849399932e-11	1.8789605334890103e-12	6.100009326488903e-13	3.148961168949121e-12	1.182970802519388e-12	5.4185555785613515e-15	7.154146830322404e-15	2.7633705085439376e-15	4.3727467457790874e-15	1.2918631729394143e-12	1.2918631729394143e-12	2.153066073529719e-12	2.153066073529719e-12	5.756619789066222e-13	5.756619789066222e-13	1.0056624591536016e-12	1.0056624591536016e-12	4.436768791429029e-15	4.436768791429029e-15	5.9917254945486265e-15	5.9917254945486265e-15	2.68194366426166e-15	2.68194366426166e-15	3.9561982462398726e-15	3.9561982462398726e-15
24.009207365892717	1.955080293673264e-11	1.9237371500410848e-12	6.238347794329599e-13	3.225272846147058e-12	1.2103971160405545e-12	5.517826758688121e-15	7.285609968378277e-15	2.8130872132738298e-15	4.451585269299995e-15	1.3221611823762033e-12	1.3221611823762033e-12	2.2043839777281146e-12	2.2043839777281146e-12	5.886679334873017e-13	5.886679334873017e-13	1.0288082309932028e-12	1.0288082309932028e-12	4.517568617237835e-15	4.517568617237835e-15	6.101172323207969e-15	6.101172323207969e-15	2.7300736259353022e-15	2.7300736259353022e-15	4.0272161114027255e-15	4.0272161114027255e-15
25.00960768614892	2.0037768758007298e-11	1.9672811020440638e-12	6.372320669342993e-13	3.299585930176217e-12	1.237010861905474e-12	5.612152720710782e-15	7.410644948348815e-15	2.860237793586708e-15	4.526442906397177e-15	1.3515866446305043e-12	1.3515866446305043e-12	2.2542917753821953e-12	2.2542917753821953e-12	6.012596181858106e-13	6.012596181858106e-13	1.0512550859178954e-12	1.0512550859178954e-12	4.594308371068479e-15	4.594308371068479e-15	6.20522134993923e-15	6.20522134993923e-15	2.7757113143921882e-15	2.7757113143921882e-15	4.094624006739353e-15	4.094624006739353e-15
26.010008006405126	2.051503618528986e-11	2.009643857079024e-12	6.50210860250009e-13	3.3719845098911924e-12	1.2628462137353967e-12	5.701765969084106e-15	7.529545490171683e-15	2.904956995073534e-15	4.597502359362497e-15	1.3801759352190434e-12	1.3801759352190434e-12	2.302848723379829e-12	2.302848723379829e-12	6.134541996447467e-13	6.134541996447467e-13	1.073032427842262e-12	1.073032427842262e-12	4.667178530549328e-15	4.667178530549328e-15	6.3041191194260245e-15	6.3041191194260245e-15	2.8189885381330474e-15	2.8189885381330474e-15	4.158591323714186e-15	4.158591323714186e-15
