f HF LF HF_LF
1.000000000000000000e+00 3.480218086809455061e-33 2.588841025128390306e-26 3.480217618958544371e-33
1.003075857942949956e+00 3.112909436437413435e-33 3.496195884414079029e-26 3.112909159273186825e-33
1.006161176787985001e+00 2.787848803136547014e-33 2.747357981945346160e-26 2.787848520242937497e-33
1.009255985635496122e+00 2.499719772878515382e-33 1.781416347649905114e-26 2.499719422112784844e-33
1.012360313675382706e+00 2.243938803622926494e-33 1.155106240604169944e-26 2.243938367709743623e-33
1.015474190187328318e+00 2.016544688724187846e-33 7.490049593944650493e-27 2.016544145810374592e-33
1.018597644541076708e+00 1.814106202207391687e-33 4.856838626979706054e-27 1.814105524610226754e-33
1.021730706196708249e+00 1.633644679454491578e-33 3.149407250338335516e-27 1.633643832058984200e-33
1.024873404704919277e+00 1.472568912713410734e-33 2.042255581218680490e-27 1.472567850917982585e-33
1.028025769707298975e+00 1.328620237164691377e-33 1.324333700786848024e-27 1.328618904245380690e-33
1.031187830936610261e+00 1.199826078687414634e-33 8.587975397988776281e-28 1.199824402412691997e-33
1.034359618217070009e+00 1.084460550869877397e-33 5.569165511242584975e-28 1.084458439148841362e-33
1.037541161464629491e+00 9.810109430647653569e-34 3.611564552407078727e-28 9.810082783474596942e-34
1.040732490687257927e+00 8.881491464302929519e-34 2.342105817912570298e-28 8.881457784957229371e-34
1.043933635985224262e+00 8.047072310571994788e-34 2.069774859387022604e-28 8.047041024502055102e-34
1.047144627551382046e+00 7.296565223648538599e-34 1.855844272680250821e-28 7.296536536082708827e-34
1.050365495671453209e+00 6.620896351649403644e-34 1.664047390136724118e-28 6.620870008593103473e-34
1.053596270724314721e+00 6.012050140231418409e-34 1.492091776026817710e-28 6.012025916117438177e-34
1.056836983182284584e+00 5.462936026673242636e-34 1.337922696102413548e-28 5.462913720789455166e-34
1.060087663611408937e+00 4.967273262645632967e-34 1.199698440873837666e-28 4.967252696059343577e-34
1.063348342671751157e+00 4.519491208705335970e-34 1.075768213917983733e-28 4.519472221608758419e-34
1.066619051117680739e+00 4.114642862017612074e-34 9.646523182394829924e-29 4.114625311431408597e-34
1.069899819798162621e+00 3.748329726713648477e-34 8.650244015338320101e-29 3.748313484495701683e-34
1.073190679657049618e+00 3.416636426298266463e-34 7.756955461234114537e-29 3.416621377413286993e-34
1.076491661733372407e+00 3.116073699931054367e-34 6.956000116589798335e-29 3.116059740943643218e-34
1.079802797161634409e+00 2.843528627524210022e-34 6.418139617395383757e-29 2.843516029451069645e-34
1.083124117172103329e+00 2.596221099239576826e-34 6.789648551932881259e-29 2.596211171865323506e-34
1.086455653091107809e+00 2.371665688645218331e-34 7.182748070327641508e-29 2.371657857687608422e-34
1.089797436341330972e+00 2.167638210059830105e-34 7.598697037763400596e-29 2.167632026576026672e-34
1.093149498442107737e+00 1.982146343189614738e-34 8.038827907391937409e-29 1.982141455792492200e-34
1.096511871009722583e+00 1.813403795117082132e-34 8.504551029994845889e-29 1.813399928450516369e-34
1.099884585757706645e+00 1.659807543569547608e-34 8.997359216332309443e-29 1.659804481608884338e-34
1.103267674497137696e+00 1.519917768271436873e-34 9.518832567000244337e-29 1.519915341349524830e-34
