f	CE1EL1	CE1EL2	CE2EL1	CE2EL2
2771.0	0.00027669623136437286	-0.0008072582337552913	-0.0009392571285878068	0.0009582008287527446
2772.0	-0.00011065061827686968	-0.0005620335867487303	-0.0006537463773457939	0.0007582638975325838
2773.0	-0.0004899829412612926	-0.0002813415870207969	-0.00032396893242955913	0.0005108390254626176
2774.0	-0.0008347889487466592	1.699074963395132e-05	2.7609492499510252e-05	0.0002315029734240825
2775.0	-0.0011209895500742875	0.0003140305168283966	0.0003770563289890877	-6.217416725861823e-05
2776.0	-0.0013286198577968816	0.000590940427031665	0.0007006012616480042	-0.0003517341053073208
2777.0	-0.001443221876926903	0.0008301733911127582	0.0009762531245099763	-0.0006189904770834318
2778.0	-0.0014568512306868684	0.0010165844141206738	0.0011852946036027948	-0.0008471710569472109
2779.0	-0.001368627825669904	0.0011383893517116705	0.0013135531549697105	-0.0010219703140535842
2780.0	-0.0011847922905567918	0.0011879098342336793	0.0013523618436713776	-0.001132446262577604
2781.0	-0.0009182645987486673	0.0011620572701280404	0.001299144964807078	-0.0011717053807536305
2782.0	-0.000587736087538147	0.0010625254214082576	0.0011575888789815032	-0.001137332727214138
2783.0	-0.00021635868175836834	0.0008956795478843942	0.0009373867392546044	-0.0010315404196173427
2784.0	0.00016987675871727817	0.0006721493686267821	0.0006535747811585353	-0.000861025351176632
2785.0	0.000543959382622459	0.00040615186746434785	0.00032550561894965295	-0.0006365452917586552
2786.0	0.0008797472871119326	0.00011458708354024835	-2.4471348413151134e-05	-0.00037224020357982495
2787.0	0.0011537943571340997	-0.00018403560605081073	-0.00037253244429815146	-8.474158685040003e-05
2788.0	0.0013469873437162547	-0.0004707724958411032	-0.0006950014184288215	0.00020787404492078696
2789.0	0.001445878877350442	-0.0007274472632229458	-0.0009699599583817138	0.0004872217093711904
2790.0	0.0014436234502698132	-0.0009378031509046577	-0.0011787374596042993	0.0007357630614499819
2791.0	0.0013404512224585285	-0.0010885325858876569	-0.0013071787971331687	0.0009379074885509753
2792.0	0.0011436468612878931	-0.0011701190254380146	-0.001346604016440466	0.00108099006666105
2793.0	0.000867035248697825	-0.0011774377755947765	-0.0012943948800327278	0.0011560650341981458
2794.0	0.0005300103608711128	-0.0011100778515626775	-0.0011541686365475372	0.0011584650726220982
2795.0	0.0001561755337851331	-0.0009723646676831894	-0.0009355274870801833	0.0010880914295850787
2796.0	-0.0002283095547896273	-0.0007730823321643581	-0.0006534010953464285	0.0009494168528308501
2797.0	-0.0005965594225744836	-0.0005249133733235674	-0.00032702715947951843	0.0007512013560518853
2798.0	-0.0009228427484349386	-0.000243631631494627	2.136034771859855e-05	0.0005059388766638596
2799.0	-0.0011843803118069328	5.290032086913623e-05	0.0003680458268754268	0.00022906977685721865
2800.0	-0.0013629352793315124	0.0003458655084986807	0.0006894464075547478	-6.199117689571415e-05
2801.0	-0.0014460848178463252	0.0006166865997657392	0.0009637161212644276	-0.0003489501652470923
2802.0	-0.001428084369063018	0.0008482039023085335	0.001172230773245305	-0.0006137841042050977
2803.0	-0.001310264459523807	0.001025762611881707	0.0013008525878408493	-0.0008398726058009671
2804.0	-0.00110093264044785	0.001138140426855838	0.0013408887554420736	-0.0010130410182403174
2805.0	-0.000814787765499285	0.0011782568137888073	0.0012896788929675454	-0.0011224490889682863
2806.0	-0.00047188789935966567	0.0011436190988139603	0.0011507717197703161	-0.0011612695381487644
2807.0	-9.624432396284864e-05	0.0010364772817676871	0.0009336792232567605	-0.0011271140668039205
2808.0	0.00028585980478317236	0.0008636779624921155	0.0006532253386023498	-0.0010221802193300133
2809.0	0.0006477084188877003	0.0006362268575720629	0.00032853373845925283	-0.0008531100739059751
2810.0	0.0009640204534314268	0.0003685878598855077	-1.8276153253798574e-05	-0.0006305698426144142
2811.0	0.001212716117271122	7.776328161852674e-05	-0.0003635960102192568	-0.00036857698802016
2812.0	0.001376458120025056	-0.0002177862332838435	-0.0006839356652993714	-8.361730406546009e-05
2813.0	0.0014438602755525915	-0.0004993135148680993	-0.0009575209908460074	0.0002063924274101206
2814.0	0.0014102792307470354	-0.0007489740109164105	-0.001165773906143551	0.0004832309324278139
2815.0	0.0012781342700040894	-0.0009509568417911684	-0.0012945739161271835	0.0007295172670081849
2816.0	0.001056733174767028	-0.0010924860770566438	-0.0013352155186236595	0.0009298020389383086
2817.0	0.0007616166624473059	-0.0011646288258895924	-0.0012849965671604493	0.001071536520515253
2818.0	0.0004134675738722043	-0.0011628590300083292	-0.0011473978271979675	0.0011458588626942958
2819.0	3.6661371915545466e-05	-0.0010873413772456804	-0.0009318418014589487	0.0011481481532570508
2820.0	-0.00034244046620059815	-0.0009429175288169296	-0.0006530475292404711	0.0010783116797507405
