0.0	2.861213319777863e-45
0.5	6.060123740472216e-45
1.0	1.092130758323522e-44
1.5	5.2243409012764076e-45
2.0	1.7564342304431947e-45
2.5	1.3237398061715323e-45
3.0	9.826623774615303e-46
3.5	1.4882478323181353e-45
4.0	1.6778155484077873e-45
4.5	3.939050146665209e-45
5.0	5.987966122904829e-45
5.5	2.1470781631350395e-44
6.0	4.666249222645833e-44
6.5	4.79083562590976e-43
7.0	4.232340130415673e-42
7.5	5.5938284621857285e-40
8.0	4.7888165808852155e-39
8.5	6.744214355850198e-39
9.0	4.6166054820102105e-39
9.5	3.016129996893144e-39
10.0	9.662848231721108e-40
10.5	3.953477710017173e-41
11.0	7.598073650899254e-42
11.5	2.5308146778657416e-42
12.0	1.879522598186736e-42
12.5	1.2995486237886293e-42
13.0	9.06055278080722e-43
13.5	6.202346435209062e-43
14.0	4.3863116732163594e-43
14.5	4.389330964308752e-43
15.0	5.346241339553571e-43
15.5	5.452318191953614e-43
16.0	1.13749941885806e-42
16.5	1.4569404958385374e-42
17.0	4.843681353846542e-43
17.5	1.0856816987567614e-43
18.0	8.725926831745701e-44
18.5	8.710229982032051e-44
19.0	8.341047152570133e-44
19.5	6.136882127714852e-44
20.0	4.980399675555191e-44
20.5	4.233116302086283e-44
21.0	3.3143215468355735e-44
21.5	2.52000797878204e-44
22.0	1.7662314766822906e-44
22.5	1.5173469454110824e-44
23.0	1.2024528392772714e-44
23.5	9.13895348335289e-45
24.0	8.416213981502807e-45
24.5	9.017364560675285e-45
25.0	8.043244221072071e-45
25.5	6.042720244571504e-45
26.0	6.00825930790507e-45
26.5	4.896361308578557e-45
27.0	4.153384894136569e-45
27.5	3.484417645115207e-45
28.0	3.0802999207071124e-45
28.5	2.888933368475949e-45
29.0	3.029928432703139e-45
29.5	2.6371211012472173e-45
30.0	2.1509458598494046e-45
30.5	1.9847937794122682e-45
31.0	1.9458759992770767e-45
31.5	1.655629149407241e-45
32.0	1.4882282097283238e-45
32.5	1.1809066463495857e-45
33.0	1.2500188528060583e-45
33.5	1.2052167164081247e-45
34.0	1.1893714511977424e-45
34.5	1.106678008018773e-45
35.0	8.53547155263341e-46
35.5	7.768255663115517e-46
36.0	7.618032280969492e-46
36.5	1.0377120591925874e-45
37.0	8.882453187043334e-46
37.5	6.40687128588347e-46
38.0	6.591171809244287e-46
38.5	6.156737056645368e-46
39.0	5.233777850864192e-46
39.5	4.9128322252496114e-46
40.0	4.6517226980253145e-46
40.5	4.780104773327648e-46
41.0	5.7213869920220755e-46
41.5	6.380280483282962e-46
42.0	5.417033414051025e-46
42.5	4.759662552511962e-46
43.0	4.3595456945782745e-46
43.5	4.358930740508686e-46
44.0	4.919970521196515e-46
44.5	4.572367917276619e-46
45.0	4.0716468359349426e-46
45.5	4.666375703261015e-46
46.0	5.19095661248999e-46
46.5	4.841386217883926e-46
47.0	5.807553133071231e-46
47.5	7.89970783436093e-46
48.0	8.53753552659669e-46
48.5	1.1040753519353783e-45
49.0	8.601690205280936e-46
49.5	9.97008873513551e-46
50.0	1.543714148033283e-45
50.5	8.774420170135124e-46
51.0	4.159381610484645e-46
51.5	2.729821332686507e-46
52.0	2.6062360157454635e-46
52.5	3.086891188735625e-46
53.0	2.779104006194091e-46
53.5	2.6601503944572517e-46
54.0	2.4280426954331484e-46
54.5	2.1611261800466426e-46
55.0	2.103988951852744e-46
55.5	2.056634173743437e-46
56.0	1.749870805367408e-46
56.5	1.813182971764273e-46
57.0	1.7923555193033094e-46
57.5	1.65566510109307e-46
58.0	1.6171869321596897e-46
58.5	1.7600554543457753e-46
59.0	1.5342249618581e-46
59.5	1.4532986717044608e-46
60.0	2.401734491585571e-46
60.5	6.588560465900184e-46
61.0	1.2612872498344763e-45
61.5	1.2910986992028253e-45
62.0	1.3666726739059195e-45
62.5	1.5901762919988615e-45
63.0	3.524131666219694e-46
63.5	5.424482157463642e-46
64.0	2.3087544563248354e-46
64.5	1.4056987164349658e-46
65.0	1.383041681724776e-46
65.5	1.3001796382437166e-46
66.0	1.32857752075512e-46
66.5	1.4384958533803627e-46
67.0	1.3311487591604505e-46
67.5	1.1400742807941778e-46
68.0	1.0268092018283206e-46
68.5	1.2169981158975002e-46
69.0	1.2471912582361927e-46
69.5	1.2304705334390486e-46
70.0	1.4112984480580565e-46
70.5	1.5728077447111359e-46
71.0	1.5412801521369914e-46
71.5	1.3123746185135354e-46
72.0	1.155387087034963e-46
72.5	1.0956097824834535e-46
73.0	1.190426915424237e-46
73.5	1.1107284863166129e-46
74.0	1.0364561856540849e-46
74.5	1.0271973482669188e-46
75.0	1.1200384727247004e-46
75.5	1.187787300686107e-46
76.0	1.2812729975309268e-46
76.5	1.1547768527707547e-46
77.0	1.0497596635751734e-46
77.5	1.0236501982019691e-46
78.0	9.743780216377846e-47
78.5	9.943354762602136e-47
79.0	1.0512934268461408e-46
79.5	9.73386693083197e-47
80.0	9.75872549150539e-47
80.5	1.1944394674140689e-46
81.0	1.151983333869424e-46
81.5	1.043180739621882e-46
82.0	1.0676543792297373e-46
82.5	9.255270849743877e-47
83.0	8.966239125869291e-47
83.5	9.00180217479799e-47
84.0	9.353680807653248e-47
84.5	8.52292127153816e-47
85.0	7.941920363647905e-47
85.5	8.635920679703647e-47
86.0	8.740496667356815e-47
86.5	1.0012448681039971e-46
87.0	1.2121574881369626e-46
87.5	9.63145170606814e-47
88.0	8.57638863105429e-47
88.5	9.980976224821387e-47
89.0	1.0465250961873162e-46
89.5	1.037229108004891e-46
90.0	9.765854983826395e-47
90.5	9.488762250638605e-47
91.0	9.739622048389202e-47
91.5	1.0006822079227164e-46
92.0	1.048271777874638e-46
92.5	1.017704708561288e-46
93.0	1.2830319534720957e-46
93.5	1.3118459099738719e-46
94.0	1.1867330551659383e-46
94.5	1.1625068123885807e-46
95.0	1.0562705392194435e-46
95.5	1.0015819270612832e-46
96.0	9.911191055187644e-47
96.5	1.0577767980529146e-46
97.0	1.3932087440157367e-46
97.5	1.0870998446988174e-46
98.0	1.0745584411414959e-46
98.5	1.1432602116738e-46
99.0	1.2839693458303162e-46
99.5	8.027636447139727e-46
100.0	3.0195951664996975e-45
100.5	9.947833397438125e-46
101.0	6.3855334855057806e-46
101.5	5.314421336754767e-46
102.0	2.075808685734446e-46
102.5	1.2633567559535462e-46
103.0	1.1047586413883883e-46
103.5	1.381834893126246e-46
104.0	1.4754683805733433e-46
104.5	1.4250453959650392e-46
105.0	1.7759369257864685e-46
105.5	2.3079117167463537e-46
106.0	2.7227845934904252e-46
106.5	2.308981851602584e-46
107.0	1.7438732691474978e-46
107.5	1.665730164722042e-46
108.0	1.3912718633859143e-46
108.5	1.111636766394344e-46
109.0	1.1381928237533121e-46
109.5	1.3008107663581443e-46
110.0	1.4621992422052135e-46
110.5	1.080059521706888e-46
111.0	9.843933719508128e-47
111.5	1.0523756479946285e-46
112.0	9.99644565469863e-47
112.5	9.746014696827522e-47
113.0	9.527909559199025e-47
113.5	8.73216721933849e-47
114.0	9.664102629698714e-47
114.5	9.220508160800714e-47
115.0	8.663382359044334e-47
115.5	9.963718866289455e-47
116.0	1.0210162318561869e-46
116.5	1.0082410033109186e-46
117.0	1.0746369065345717e-46
