inc	phi	theta	fH	fL	fV	fET
-0.4977229612997658	0.3526676944551867	4.294582727641439	0.2690534542798711	0.2800119856707207	0.2320780513348163	0.20098548811673994
-0.21726598285021992	2.2059431614728116	0.8027374987237811	0.2760259838210371	0.2558561619913555	0.19761157691289885	0.17113664568847287
-0.8470782403450838	2.84185563470956	6.155614506218633	0.2975027300896207	0.38365509568547035	0.5071167011255794	0.43917594585811237
-0.553177202070857	2.6824706569035373	5.659853991505144	0.4133656462154712	0.276899144053821	0.5017393860620477	0.4345190544089412
-0.5225735598492443	0.9042651666948056	3.196581720792615	0.21803562247487618	0.3086822452029961	0.4180271938452652	0.3620221693427216
-0.4591711692030307	0.07399584389514977	4.683425858603529	0.32589980791145273	0.26964724458250605	0.4431320353855221	0.38376359987456693
0.4244823167889715	2.654085526595681	3.561324457608024	0.4255793852433692	0.31818212686831293	0.3397875776548072	0.2942646741394407
-0.12321996349921682	0.2289330808486364	2.4453626332043044	0.22905802645822315	0.1717262633207666	0.18877714841286267	0.1634858061795243
0.8819513318571004	0.5243264649557743	2.4725979869854458	0.577101626255812	0.433158544280975	0.20995966655344006	0.18183040500538902
-0.7513093976917489	2.260058843797599	5.25591376803965	0.36140485550014045	0.6459367109137101	0.5166687719791505	0.44744828187605384
0.3717782849781248	2.378325069007356	0.028445317646036663	0.2065362685380734	0.3012415866754769	0.34674732397834934	0.30029199125952355
0.8040902951367972	1.5018853049933287	2.0230803166119675	0.630918752550834	0.4167435014334665	0.3995218146447494	0.34599604084841074
0.9337969897672733	2.547361322086879	0.4527893074853874	0.6513038954753733	0.49152439619742533	0.5409511861393614	0.46847746940401147
-0.8349743887347356	1.332510999671583	1.4489463717708884	0.4858021832586537	0.35239003582665346	0.4703543220576678	0.40733879168174764
-0.02599211217930253	3.0739552562236754	2.078533466893209	0.2519224915308778	0.263640881011021	0.3224752116041536	0.2792717253399594
0.7667917172240237	0.016308763620270613	4.943093892461222	0.3763221222094761	0.22716524059459275	0.493381710134431	0.4272810947390274
-0.7698446646742272	2.034344250212897	4.157051664384706	0.38052936310391194	0.4433407947066125	0.13559317098087018	0.11742713064912051
-0.5640455591236058	1.973386801769258	2.2654193092886055	0.3658918048494094	0.5539666137313016	0.4270515329752721	0.3698374762816735
-0.859550441641957	2.589997147750631	3.0535477969312117	0.3132679706872016	0.4274810441219205	0.5005488675612045	0.4334880351435356
-0.00641788836531787	2.7558890279117043	0.9624028573689123	0.12907381090827336	0.10835636142114861	0.24537520939942759	0.21250116479883044
-0.6956537767244497	0.47058899468399595	0.8821418257166811	0.20022793532566022	0.19479071118056063	0.7096184905162514	0.6145476397822404
-0.8430873268571688	3.006678382845463	0.20553162875879769	0.5682118736595311	0.519308977211392	0.488906942240205	0.4234058320665887
-0.4043148357057904	0.8170911047332337	4.410304987429273	0.10652104352620832	0.22874470226058086	0.4365621440428254	0.3780739070716881
