f	3ETcryo10	3ETcryo15	3ETamb10	3ETamb15	3ET2CEcryo10	3ET2CEamb10	3ET2CEcryo15	3ET2CEamb15	2ETcryo15al	2ETcryo15misal	2ETamb15al	2ETamb15misal	2ETcryo20al	2ETcryo20misal	2ETamb20al	2ETamb20misal	2ET2CEcryo15al	2ET2CEcryo15misal	2ET2CEamb15al	2ET2CEamb15misal	2ET2CEcryo20al	2ET2CEcryo20misal	2ET2CEamb20al	2ET2CEamb20misal
17	1.0849512086467785e-12	5.740521675328492e-13	2.4395430794951362e-12	1.1816394410588235e-12	0.0	0.0	0.0	0.0	4.3545777807384847e-13	4.3545777807384847e-13	8.304745312344329e-13	8.304745312344329e-13	2.885955645199446e-13	2.885955645199446e-13	5.000770794920866e-13	5.000770794920866e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	1.1487718679789419e-12	6.07819942093605e-13	2.4395430794951362e-12	1.1816394410588235e-12	0.0	0.0	0.0	0.0	4.610729414899572e-13	4.610729414899572e-13	8.304745312344329e-13	8.304745312344329e-13	3.055717741975884e-13	3.055717741975884e-13	5.000770794920866e-13	5.000770794920866e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	1.2125925273111053e-12	6.415877166543608e-13	2.4395430794951362e-12	1.1816394410588235e-12	0.0	0.0	0.0	0.0	4.866881049060659e-13	4.866881049060659e-13	8.304745312344329e-13	8.304745312344329e-13	3.225479838752322e-13	3.225479838752322e-13	5.000770794920866e-13	5.000770794920866e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	1.2764131866432687e-12	6.753554912151167e-13	2.4395430794951362e-12	1.1816394410588235e-12	0.0	0.0	0.0	0.0	5.123032683221747e-13	5.123032683221747e-13	8.304745312344329e-13	8.304745312344329e-13	3.39524193552876e-13	3.39524193552876e-13	5.000770794920866e-13	5.000770794920866e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	1.3402338459754321e-12	7.091232657758726e-13	2.4395430794951362e-12	1.1816394410588235e-12	0.0	0.0	0.0	0.0	5.379184317382834e-13	5.379184317382834e-13	8.304745312344329e-13	8.304745312344329e-13	3.5650040323051983e-13	3.5650040323051983e-13	5.000770794920866e-13	5.000770794920866e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	1.4040545053075957e-12	7.428910403366285e-13	2.4395430794951362e-12	1.1816394410588235e-12	0.0	0.0	0.0	0.0	5.635335951543922e-13	5.635335951543922e-13	8.605029875870036e-13	8.605029875870036e-13	3.7347661290816365e-13	3.7347661290816365e-13	5.127397512382304e-13	5.127397512382304e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	1.467875164639759e-12	7.766588148973842e-13	2.4395430794951362e-12	1.1816394410588235e-12	0.0	0.0	0.0	0.0	5.891487585705008e-13	5.891487585705008e-13	8.996167597500492e-13	8.996167597500492e-13	3.904528225858074e-13	3.904528225858074e-13	5.360461035672407e-13	5.360461035672407e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	1.5316958239719224e-12	8.1042658945814e-13	2.4395430794951362e-12	1.1816394410588235e-12	0.0	0.0	0.0	0.0	6.147639219866095e-13	6.147639219866095e-13	9.387305319130948e-13	9.387305319130948e-13	4.074290322634512e-13	4.074290322634512e-13	5.593524558962512e-13	5.593524558962512e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	1.595516483304086e-12	8.441943640188959e-13	2.4395430794951362e-12	1.1816394410588235e-12	0.0	0.0	0.0	0.0	6.403790854027183e-13	6.403790854027183e-13	9.778443040761405e-13	9.778443040761405e-13	4.2440524194109503e-13	4.2440524194109503e-13	5.826588082252616e-13	5.826588082252616e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	1.6593371426362494e-12	8.779621385796518e-13	2.488395198208182e-12	1.189301955037857e-12	0.0	0.0	0.0	0.0	6.659942488188271e-13	6.659942488188271e-13	1.016958076239186e-12	1.016958076239186e-12	4.413814516187388e-13	4.413814516187388e-13	6.059651605542722e-13	6.059651605542722e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
