f	psd[1/Hz]
1.0	1.3766557866779075e-38
1.4999499949994999	1.0494812887404008e-38
1.9998999899989998	7.906537026202489e-39
2.4998499849985	5.881029475379036e-39
2.9997999799979995	4.3145219668499456e-39
3.4997499749974996	3.118497338801364e-39
3.9996999699969997	2.218096957027237e-39
4.499649964996499	1.550616991046232e-39
4.999599959995999	1.0640935449988964e-39
5.4995499549955	7.159766433240436e-40
5.999499949994999	4.718930712149229e-40
6.499449944994499	3.0449806985486187e-40
6.9993999399939995	1.924158864325851e-40
7.499349934993499	1.1926917893714387e-40
7.999299929992999	7.279727573238572e-41
8.4992499249925	4.406328991106831e-41
8.999199919991998	2.6750088428561164e-41
9.499149914991499	1.6545116016143835e-41
9.999099909991	1.0614073873910006e-41
10.499049904990498	7.163453143267716e-42
10.998999899989998	5.0919231590412334e-42
11.498949894989499	3.731134404568588e-42
11.998899889988998	2.6947035326143612e-42
12.498849884988498	1.874305088316242e-42
12.998799879987999	1.337028539817015e-42
13.498749874987498	1.0011463038302208e-42
13.998699869986998	7.722703016243543e-43
14.498649864986499	5.9626642166220104e-43
14.998599859985998	4.595217720787462e-43
15.498549854985498	3.559056756393746e-43
15.998499849984999	2.779141493550593e-43
16.4984498449845	2.1736937494963505e-43
16.998399839983996	1.6860513099704857e-43
17.498349834983497	1.302096060443783e-43
17.998299829982997	1.018146277116924e-43
18.498249824982498	8.181216708371508e-44
18.998199819982	6.736669858563039e-44
19.4981498149815	5.626662671702663e-44
19.998099809980996	4.689616329477294e-44
20.498049804980496	3.850356322867557e-44
20.997999799979997	3.1300133025022703e-44
21.497949794979498	2.546952960032027e-44
21.997899789978998	2.1069814103557582e-44
22.4978497849785	1.7855191424981502e-44
22.997799779977996	1.5408649673525161e-44
23.497749774977496	1.3407129659292537e-44
23.997699769976997	1.1653927533306566e-44
24.497649764976497	1.0038171822254112e-44
24.997599759975998	8.493545107254685e-45
25.4975497549755	7.073425287223617e-45
25.997499749974995	5.852537386387529e-45
26.497449744974496	4.8772521766222986e-45
26.997399739973996	4.152377488489323e-45
27.497349734973497	3.6172007958400574e-45
27.997299729972998	3.2134986936844605e-45
28.497249724972498	2.895554057957046e-45
28.997199719971995	2.6264359755352765e-45
29.497149714971496	2.375670468703518e-45
29.997099709970996	2.126289231140846e-45
30.497049704970497	1.885208889070242e-45
30.996999699969997	1.6612737068631134e-45
31.496949694969498	1.4612969394814442e-45
31.996899689968995	1.2902122493047803e-45
32.496849684968495	1.1491633315808925e-45
32.99679967996799	1.0327473391392819e-45
33.496749674967496	9.354321169064065e-46
33.99669966996699	8.525665278655008e-46
34.4966496649665	7.802074325761679e-46
34.996599659965995	7.149888314353527e-46
35.4965496549655	6.541183853449989e-46
35.996499649964996	5.9682052688302565e-46
36.49644964496449	5.438127354277616e-46
36.996399639964	4.9570661591898985e-46
37.496349634963494	4.529672090830536e-46
37.996299629963	4.159375485668705e-46
38.496249624962495	3.8482976984244015e-46
38.99619961996199	3.590266245926027e-46
39.496149614961496	3.3729718202535423e-46
39.99609960996099	3.185396456159404e-46
40.4960496049605	3.0177650547200025e-46
40.995999599959994	2.861307485617735e-46
41.4959495949595	2.7081207058701488e-46
41.995899589958995	2.551224613442331e-46
42.49584958495849	2.3899070821608928e-46
42.995799579957996	2.231734297285336e-46
43.49574957495749	2.0840289853958095e-46
43.995699569957	1.9531369801238162e-46
